name,channel,checkin,nights,room_revenue
Gustavo Reyna,booking,2025-01-11,7,15428.0
Sebastián Prado,booking,2025-01-02,2,5418.0
Valeria Chávez,booking,2025-01-19,5,16735.0
Natalia Ochoa,booking,2025-01-03,7,29449.0
Andrea Concha,expedia,2025-01-02,7,19327.0
Patricia Uribe,expedia,2025-01-02,1,5005.0
Fernando Casas,expedia,2025-01-22,1,3849.0
Daniela Cordero,expedia,2025-01-07,6,15222.0
Patricia Uribe,expedia,2025-01-12,3,5997.0
Julián Camacho,expedia,2025-01-18,3,15282.0
Natalia Ochoa,expedia,2025-01-18,4,19032.0
Andrea Concha,expedia,2025-01-07,2,6588.0
Andrea Concha,booking,2025-02-06,5,23480.0
Camila Restrepo,booking,2025-02-01,4,19740.0
Mateo Larios,booking,2025-02-09,2,6310.0
Patricia Uribe,booking,2025-02-01,3,14988.0
Fernanda Quiroz,expedia,2025-02-13,6,13338.0
Hector Delgadillo,expedia,2025-02-16,2,4632.0
Tomás Villagómez,expedia,2025-02-15,5,16895.0
Bruno Salcedo,expedia,2025-02-08,6,19428.0
Karla Espinosa,expedia,2025-02-13,6,29466.0
Fernando Casas,expedia,2025-02-07,1,2526.0
Mariana Beltrán,expedia,2025-02-16,5,16355.0
Hector Delgadillo,expedia,2025-02-14,1,2140.0
Natalia Ochoa,booking,2025-03-22,2,10006.0
Cynthia Marroquín,booking,2025-03-05,7,13902.0
Karla Espinosa,booking,2025-03-13,7,21532.0
Patricia Uribe,booking,2025-03-20,3,14847.0
Renata Ibarra,expedia,2025-03-07,2,6402.0
Cynthia Marroquín,expedia,2025-03-19,7,23177.0
Tomás Villagómez,expedia,2025-03-17,4,20660.0
Daniela Cordero,expedia,2025-03-17,7,17031.0
Diego Manzano,expedia,2025-03-13,2,9000.0
Gustavo Reyna,expedia,2025-03-15,3,14352.0
Patricia Uribe,expedia,2025-03-16,6,12114.0
Mateo Larios,expedia,2025-03-06,6,25260.0
Karla Espinosa,booking,2025-04-22,2,3834.0
Rodrigo Zavala,booking,2025-04-06,1,4153.0
